Payment_No,Due_Date,Fiscal_Year,Fiscal_Quarter,Scheduled_Payment_USD,Cumulative_Paid_USD,Payment_Status,Note
1,2025-01-01,2025,Q1,1000.00,1000.00,Paid,Commencement of Master Lease ID 883
2,2025-02-01,2025,Q1,1000.00,2000.00,Paid,
3,2025-03-01,2025,Q1,1000.00,3000.00,Paid,
4,2025-04-01,2025,Q2,1000.00,4000.00,Paid,
5,2025-05-01,2025,Q2,1000.00,5000.00,Paid,
6,2025-06-01,2025,Q2,1000.00,6000.00,Paid,Amendment 1 executed 2025-06-30
7,2025-07-01,2025,Q3,1000.00,7000.00,Paid,Amendment 1 effective 2025-07-01; first payment under amended terms
8,2025-08-01,2025,Q3,1000.00,8000.00,Paid,
9,2025-09-01,2025,Q3,1000.00,9000.00,Paid,
10,2025-10-01,2025,Q4,1000.00,10000.00,Scheduled,
11,2025-11-01,2025,Q4,1000.00,11000.00,Scheduled,
12,2025-12-01,2025,Q4,1000.00,12000.00,Scheduled,
13,2026-01-01,2026,Q1,1000.00,13000.00,Scheduled,
14,2026-02-01,2026,Q1,1000.00,14000.00,Scheduled,
15,2026-03-01,2026,Q1,1000.00,15000.00,Scheduled,
16,2026-04-01,2026,Q2,1000.00,16000.00,Scheduled,
17,2026-05-01,2026,Q2,1000.00,17000.00,Scheduled,
18,2026-06-01,2026,Q2,1000.00,18000.00,Scheduled,
19,2026-07-01,2026,Q3,1000.00,19000.00,Scheduled,
20,2026-08-01,2026,Q3,1000.00,20000.00,Scheduled,
21,2026-09-01,2026,Q3,1000.00,21000.00,Scheduled,
22,2026-10-01,2026,Q4,1000.00,22000.00,Scheduled,
23,2026-11-01,2026,Q4,1000.00,23000.00,Scheduled,
24,2026-12-01,2026,Q4,1000.00,24000.00,Scheduled,
25,2027-01-01,2027,Q1,1000.00,25000.00,Scheduled,
26,2027-02-01,2027,Q1,1000.00,26000.00,Scheduled,
27,2027-03-01,2027,Q1,1000.00,27000.00,Scheduled,
28,2027-04-01,2027,Q2,1000.00,28000.00,Scheduled,
29,2027-05-01,2027,Q2,1000.00,29000.00,Scheduled,
30,2027-06-01,2027,Q2,1000.00,30000.00,Scheduled,
31,2027-07-01,2027,Q3,1000.00,31000.00,Scheduled,
32,2027-08-01,2027,Q3,1000.00,32000.00,Scheduled,
33,2027-09-01,2027,Q3,1000.00,33000.00,Scheduled,
34,2027-10-01,2027,Q4,1000.00,34000.00,Scheduled,
35,2027-11-01,2027,Q4,1000.00,35000.00,Scheduled,
36,2027-12-01,2027,Q4,1000.00,36000.00,Scheduled,
37,2028-01-01,2028,Q1,1000.00,37000.00,Scheduled,
38,2028-02-01,2028,Q1,1000.00,38000.00,Scheduled,
39,2028-03-01,2028,Q1,1000.00,39000.00,Scheduled,
40,2028-04-01,2028,Q2,1000.00,40000.00,Scheduled,
41,2028-05-01,2028,Q2,1000.00,41000.00,Scheduled,
42,2028-06-01,2028,Q2,1000.00,42000.00,Scheduled,
43,2028-07-01,2028,Q3,1000.00,43000.00,Scheduled,
44,2028-08-01,2028,Q3,1000.00,44000.00,Scheduled,
45,2028-09-01,2028,Q3,1000.00,45000.00,Scheduled,
46,2028-10-01,2028,Q4,1000.00,46000.00,Scheduled,
47,2028-11-01,2028,Q4,1000.00,47000.00,Scheduled,
48,2028-12-01,2028,Q4,1000.00,48000.00,Scheduled,Original 48-month term would have expired on this date
49,2029-01-01,2029,Q1,1000.00,49000.00,Scheduled,
50,2029-02-01,2029,Q1,1000.00,50000.00,Scheduled,
51,2029-03-01,2029,Q1,1000.00,51000.00,Scheduled,
52,2029-04-01,2029,Q2,1000.00,52000.00,Scheduled,
53,2029-05-01,2029,Q2,1000.00,53000.00,Scheduled,
54,2029-06-01,2029,Q2,1000.00,54000.00,Scheduled,
55,2029-07-01,2029,Q3,1000.00,55000.00,Scheduled,
56,2029-08-01,2029,Q3,1000.00,56000.00,Scheduled,
57,2029-09-01,2029,Q3,1000.00,57000.00,Scheduled,
58,2029-10-01,2029,Q4,1000.00,58000.00,Scheduled,
59,2029-11-01,2029,Q4,1000.00,59000.00,Scheduled,
60,2029-12-01,2029,Q4,1000.00,60000.00,Scheduled,
61,2030-01-01,2030,Q1,1000.00,61000.00,Scheduled,
62,2030-02-01,2030,Q1,1000.00,62000.00,Scheduled,
63,2030-03-01,2030,Q1,1000.00,63000.00,Scheduled,
64,2030-04-01,2030,Q2,1000.00,64000.00,Scheduled,
65,2030-05-01,2030,Q2,1000.00,65000.00,Scheduled,
66,2030-06-01,2030,Q2,1000.00,66000.00,Scheduled,
67,2030-07-01,2030,Q3,1000.00,67000.00,Scheduled,
68,2030-08-01,2030,Q3,1000.00,68000.00,Scheduled,
69,2030-09-01,2030,Q3,1000.00,69000.00,Scheduled,
70,2030-10-01,2030,Q4,1000.00,70000.00,Scheduled,
71,2030-11-01,2030,Q4,1000.00,71000.00,Scheduled,
72,2030-12-01,2030,Q4,1000.00,72000.00,Scheduled,Final scheduled payment; purchase option under Section 3.4 exercisable thereafter

MEMO,Total scheduled payments over 72-month extended term,,,,72000.00,,
MEMO,Purchase option price at end of extended term (Section 3.4),,,,1.00,,
MEMO,Agreed fair value of equipment per Amendment 1 Section 3.1,,,,60000.00,,
MEMO,Rate implicit in lease,,,,Not disclosed by Lessor,,
MEMO,Divisional incremental borrowing rate on file,,,,None established for FY2025,,
